time3,signal2
Fri Dec  4 14:18:33 1981,-0.2963711031338958
Fri Dec  4 14:22:33 1981,0.9419727846821455
Fri Dec  4 14:26:33 1981,1.7033845114496107
Fri Dec  4 14:30:33 1981,1.422635522392759
Fri Dec  4 14:34:33 1981,4.516814377016732
Fri Dec  4 14:38:33 1981,2.160611115622729
Fri Dec  4 14:42:33 1981,5.998870117191954
Fri Dec  4 14:46:33 1981,5.571615369816123
Fri Dec  4 14:50:33 1981,5.402006911566579
Fri Dec  4 14:54:33 1981,8.344947935714686
Fri Dec  4 14:58:33 1981,10.512861027758582
Fri Dec  4 15:02:33 1981,10.396337505361412
Fri Dec  4 15:06:33 1981,10.615718359234986
Fri Dec  4 15:10:33 1981,13.27780659601665
Fri Dec  4 15:14:33 1981,12.687510967186792
Fri Dec  4 15:18:33 1981,12.686329090380669
Fri Dec  4 15:22:33 1981,15.875225348754284
Fri Dec  4 15:26:33 1981,17.618680521496323
Fri Dec  4 15:30:33 1981,16.058347298038637
Fri Dec  4 15:34:33 1981,16.358103134130676
Fri Dec  4 15:38:33 1981,17.826248229091807
Fri Dec  4 15:42:33 1981,19.643525000925475
Fri Dec  4 15:46:33 1981,19.973282247689838
Fri Dec  4 15:50:33 1981,18.922560529296174
Fri Dec  4 15:54:33 1981,22.270957131470116
Fri Dec  4 15:58:33 1981,21.05343784844163
Fri Dec  4 16:02:33 1981,22.69880309429145
Fri Dec  4 16:06:33 1981,25.2597574936073
Fri Dec  4 16:10:33 1981,25.221219949961075
Fri Dec  4 16:14:33 1981,25.19696415655393
Fri Dec  4 16:18:33 1981,27.71107526852904
Fri Dec  4 16:22:33 1981,29.199006088728144
Fri Dec  4 16:26:33 1981,31.152774243874422
Fri Dec  4 16:30:33 1981,29.28065366148925
Fri Dec  4 16:34:33 1981,29.955716885664305
Fri Dec  4 16:38:33 1981,31.968969834073395
Fri Dec  4 16:42:33 1981,30.235424789579827
Fri Dec  4 16:46:33 1981,33.23734471173276
Fri Dec  4 16:50:33 1981,35.11943972389621
Fri Dec  4 16:54:33 1981,34.566151116888314
Fri Dec  4 16:58:33 1981,38.57954955760063
Fri Dec  4 17:02:33 1981,36.898126181598975
Fri Dec  4 17:06:33 1981,37.669298020853894
Fri Dec  4 17:10:33 1981,38.363786617297045
Fri Dec  4 17:14:33 1981,38.25364178302274
Fri Dec  4 17:18:33 1981,41.19324553896304
Fri Dec  4 17:22:33 1981,41.31572672827454
Fri Dec  4 17:26:33 1981,40.999196784054234
Fri Dec  4 17:30:33 1981,44.05962259400005
Fri Dec  4 17:34:33 1981,45.75729453578551
Fri Dec  4 17:38:33 1981,47.042064975946474
Fri Dec  4 17:42:33 1981,47.41219388148809
Fri Dec  4 17:46:33 1981,45.44501457004456
Fri Dec  4 17:50:33 1981,46.07809358221316
Fri Dec  4 17:54:33 1981,49.008563677232914
Fri Dec  4 17:58:33 1981,50.82642530311127
Fri Dec  4 18:02:33 1981,50.27609095313147
Fri Dec  4 18:06:33 1981,50.21404942006062
Fri Dec  4 18:10:33 1981,51.61406162581342
Fri Dec  4 18:14:33 1981,52.33287708197637
Fri Dec  4 18:18:33 1981,53.28830517918036
Fri Dec  4 18:22:33 1981,53.99650475631675
Fri Dec  4 18:26:33 1981,58.10010651359525
Fri Dec  4 18:30:33 1981,54.988277924003675
Fri Dec  4 18:34:33 1981,57.753545577683376
Fri Dec  4 18:38:33 1981,59.9149567488905
Fri Dec  4 18:42:33 1981,59.65336063821187
Fri Dec  4 18:46:33 1981,60.55189101508926
Fri Dec  4 18:50:33 1981,60.32549845519202
Fri Dec  4 18:54:33 1981,62.385700480237965
Fri Dec  4 18:58:33 1981,61.75428598066529
Fri Dec  4 19:02:33 1981,63.61872395986301
Fri Dec  4 19:06:33 1981,62.90558645809238
Fri Dec  4 19:10:33 1981,63.983391984456105
Fri Dec  4 19:14:33 1981,67.22740413767838
Fri Dec  4 19:18:33 1981,67.18601470201948
Fri Dec  4 19:22:33 1981,67.33770280419205
Fri Dec  4 19:26:33 1981,68.79790849577199
Fri Dec  4 19:30:33 1981,71.04249806194383
Fri Dec  4 19:34:33 1981,70.0571154078522
Fri Dec  4 19:38:33 1981,73.08556806336264
Fri Dec  4 19:42:33 1981,75.06791244060844
Fri Dec  4 19:46:33 1981,73.73840683924814
Fri Dec  4 19:50:33 1981,75.16088003530565
Fri Dec  4 19:54:33 1981,76.79799020552801
Fri Dec  4 19:58:33 1981,75.45735176916705
Fri Dec  4 20:02:33 1981,77.22207967562035
Fri Dec  4 20:06:33 1981,78.72287243781685
Fri Dec  4 20:10:33 1981,78.94408885938186
Fri Dec  4 20:14:33 1981,79.64205983551363
Fri Dec  4 20:18:33 1981,81.82577003746847
Fri Dec  4 20:22:33 1981,82.07321206839643
Fri Dec  4 20:26:33 1981,82.77031079622442
Fri Dec  4 20:30:33 1981,81.7747445164489
Fri Dec  4 20:34:33 1981,84.15187669505605
Fri Dec  4 20:38:33 1981,84.1367339528746
Fri Dec  4 20:42:33 1981,86.23571329831634
Fri Dec  4 20:46:33 1981,86.19546661572572
Fri Dec  4 20:50:33 1981,85.52912465597083
Fri Dec  4 20:54:33 1981,88.56718254748583
Fri Dec  4 20:58:33 1981,89.52262638138188
Fri Dec  4 21:02:33 1981,90.94209759810937
Fri Dec  4 21:06:33 1981,93.05963411829164
Fri Dec  4 21:10:33 1981,92.95387226917799
Fri Dec  4 21:14:33 1981,92.03111223873762
Fri Dec  4 21:18:33 1981,96.43947721508499
Fri Dec  4 21:22:33 1981,94.9106813428185
Fri Dec  4 21:26:33 1981,95.75414928780837
Fri Dec  4 21:30:33 1981,96.3556641400251
Fri Dec  4 21:34:33 1981,97.41099389796865
Fri Dec  4 21:38:33 1981,100.49184737718045
Fri Dec  4 21:42:33 1981,99.61181678443684
Fri Dec  4 21:46:33 1981,100.6403135126109
Fri Dec  4 21:50:33 1981,101.53633677241103
Fri Dec  4 21:54:33 1981,103.29117296460029
Fri Dec  4 21:58:33 1981,103.28456704018163
Fri Dec  4 22:02:33 1981,105.62788349815601
Fri Dec  4 22:06:33 1981,103.85664651355732
Fri Dec  4 22:10:33 1981,106.31599158927527
Fri Dec  4 22:14:33 1981,108.00681259121585
Fri Dec  4 22:18:33 1981,107.0458222897137
Fri Dec  4 22:22:33 1981,110.55882092773436
Fri Dec  4 22:26:33 1981,109.31614804162042
Fri Dec  4 22:30:33 1981,110.03244519381981
Fri Dec  4 22:34:33 1981,112.97936314721366
Fri Dec  4 22:38:33 1981,111.98991226774113
Fri Dec  4 22:42:33 1981,113.26933539522183
Fri Dec  4 22:46:33 1981,114.20297078911437
Fri Dec  4 22:50:33 1981,115.63671482529608
Fri Dec  4 22:54:33 1981,117.52326252973438
Fri Dec  4 22:58:33 1981,116.1434900906715
Fri Dec  4 23:02:33 1981,117.82066919491625
Fri Dec  4 23:06:33 1981,117.23057196839966
Fri Dec  4 23:10:33 1981,119.27489598534498
Fri Dec  4 23:14:33 1981,120.31187060481152
Fri Dec  4 23:18:33 1981,120.37882361039252
Fri Dec  4 23:22:33 1981,122.48312687368949
Fri Dec  4 23:26:33 1981,122.75096538485982
Fri Dec  4 23:30:33 1981,125.2370859833174
Fri Dec  4 23:34:33 1981,123.48510715795562
Fri Dec  4 23:38:33 1981,124.06716180754415
Fri Dec  4 23:42:33 1981,127.23936072002782
Fri Dec  4 23:46:33 1981,126.62690090370492
Fri Dec  4 23:50:33 1981,129.39483331181103
Fri Dec  4 23:54:33 1981,128.68934320898617
Fri Dec  4 23:58:33 1981,131.58743778462065
Sat Dec  5 00:02:33 1981,132.0983433328272
Sat Dec  5 00:06:33 1981,133.9570062078998
Sat Dec  5 00:10:33 1981,132.136910071917
Sat Dec  5 00:14:33 1981,133.2108021422826
Sat Dec  5 00:18:33 1981,135.32675275399978
Sat Dec  5 00:22:33 1981,135.23917852959647
Sat Dec  5 00:26:33 1981,136.51411386158333
Sat Dec  5 00:30:33 1981,136.94492461604852
Sat Dec  5 00:34:33 1981,138.9822855935363
Sat Dec  5 00:38:33 1981,138.99275773814412
Sat Dec  5 00:42:33 1981,140.17754410568978
Sat Dec  5 00:46:33 1981,140.98635103196057
Sat Dec  5 00:50:33 1981,142.10804878471012
Sat Dec  5 00:54:33 1981,142.16915905927718
Sat Dec  5 00:58:33 1981,143.87939235436517
Sat Dec  5 01:02:33 1981,146.04015912356195
Sat Dec  5 01:06:33 1981,144.97701988437137
Sat Dec  5 01:10:33 1981,147.66533815146636
Sat Dec  5 01:14:33 1981,148.8458899891656
Sat Dec  5 01:18:33 1981,148.5509635053772
Sat Dec  5 01:22:33 1981,149.0382088950844
Sat Dec  5 01:26:33 1981,149.33276486435977
Sat Dec  5 01:30:33 1981,150.54857218789064
Sat Dec  5 01:34:33 1981,149.55289689356405
Sat Dec  5 01:38:33 1981,152.43064843512656
Sat Dec  5 01:42:33 1981,152.69372413037115
Sat Dec  5 01:46:33 1981,156.1487897273721
Sat Dec  5 01:50:33 1981,156.1220920033822
Sat Dec  5 01:54:33 1981,156.68458902371304
Sat Dec  5 01:58:33 1981,157.61605321150537
Sat Dec  5 02:02:33 1981,158.3092787257924
Sat Dec  5 02:06:33 1981,158.35691050746297
Sat Dec  5 02:10:33 1981,159.87322794458447
Sat Dec  5 02:14:33 1981,159.97900542278273
Sat Dec  5 02:18:33 1981,160.65365043677056
Sat Dec  5 02:22:33 1981,162.06354477529203
Sat Dec  5 02:26:33 1981,161.559907766833
Sat Dec  5 02:30:33 1981,163.27583284082687
Sat Dec  5 02:34:33 1981,165.74549902380363
Sat Dec  5 02:38:33 1981,164.76699582002118
Sat Dec  5 02:42:33 1981,165.97139908203926
Sat Dec  5 02:46:33 1981,168.46919079811641
Sat Dec  5 02:50:33 1981,167.718597174736
Sat Dec  5 02:54:33 1981,169.90659091421324
Sat Dec  5 02:58:33 1981,172.07915038125117
Sat Dec  5 03:02:33 1981,170.17643852584715
Sat Dec  5 03:06:33 1981,172.27870810636762
Sat Dec  5 03:10:33 1981,173.24054328726925
Sat Dec  5 03:14:33 1981,174.42422311806425
Sat Dec  5 03:18:33 1981,175.9621917635625
Sat Dec  5 03:22:33 1981,174.45084898589926
Sat Dec  5 03:26:33 1981,176.29051546447513
Sat Dec  5 03:30:33 1981,179.24075128952114
Sat Dec  5 03:34:33 1981,177.83711621823147
Sat Dec  5 03:38:33 1981,179.38186942504345
Sat Dec  5 03:42:33 1981,179.4026654525062
Sat Dec  5 03:46:33 1981,180.5405824005583
Sat Dec  5 03:50:33 1981,180.9522978007622
Sat Dec  5 03:54:33 1981,182.2902314213907
Sat Dec  5 03:58:33 1981,183.02320169877967
Sat Dec  5 04:02:33 1981,183.85961078980685
Sat Dec  5 04:06:33 1981,187.59802171557806
Sat Dec  5 04:10:33 1981,186.22061932123148
Sat Dec  5 04:14:33 1981,188.38970445555847
Sat Dec  5 04:18:33 1981,187.00777453388736
Sat Dec  5 04:22:33 1981,190.15477467449867
Sat Dec  5 04:26:33 1981,188.5483744028294
Sat Dec  5 04:30:33 1981,192.72775120480085
Sat Dec  5 04:34:33 1981,191.36064706829652
Sat Dec  5 04:38:33 1981,191.76414909633598
Sat Dec  5 04:42:33 1981,193.84393558279322
Sat Dec  5 04:46:33 1981,193.80153866523233
Sat Dec  5 04:50:33 1981,194.76022028337337
Sat Dec  5 04:54:33 1981,195.95843105486173
Sat Dec  5 04:58:33 1981,196.8963607336419
Sat Dec  5 05:02:33 1981,197.72580626819422
Sat Dec  5 05:06:33 1981,199.41069039410434
Sat Dec  5 05:10:33 1981,200.78296962055157
Sat Dec  5 05:14:33 1981,200.69854497573274
Sat Dec  5 05:18:33 1981,200.61295597949282
Sat Dec  5 05:22:33 1981,203.00392554573253
