time1,signal1
1981-12-04 11:18:33,0.473831739572386
1981-12-04 11:22:33,0.26850956101363466
1981-12-04 11:26:33,1.1301684645538193
1981-12-04 11:30:33,2.2809825364120218
1981-12-04 11:34:33,5.434987006211964
1981-12-04 11:38:33,4.575536515898144
1981-12-04 11:42:33,2.990870168489866
1981-12-04 11:46:33,10.033191980581455
1981-12-04 11:50:33,5.825225354010987
1981-12-04 11:54:33,11.092746791285226
1981-12-04 11:58:33,11.106778249181602
1981-12-04 12:02:33,12.62793804896649
1981-12-04 12:06:33,12.094250019520302
1981-12-04 12:10:33,13.57675340483553
1981-12-04 12:14:33,14.113220122510006
1981-12-04 12:18:33,11.18989536642566
1981-12-04 12:22:33,12.987457682503939
1981-12-04 12:26:33,14.22466961963088
1981-12-04 12:30:33,19.22341298956281
1981-12-04 12:34:33,15.541770608543766
1981-12-04 12:38:33,19.94589593642446
1981-12-04 12:42:33,18.935180402912234
1981-12-04 12:46:33,17.97941452273046
1981-12-04 12:50:33,19.327582913008463
1981-12-04 12:54:33,22.048041949937616
1981-12-04 12:58:33,22.819907758179873
1981-12-04 13:02:33,24.30100160872403
1981-12-04 13:06:33,22.230149349598822
1981-12-04 13:10:33,22.583798866977652
1981-12-04 13:14:33,26.105774437790718
1981-12-04 13:18:33,27.644906350176715
1981-12-04 13:22:33,31.523399772573306
1981-12-04 13:26:33,26.056788730255196
1981-12-04 13:30:33,31.067841021319648
1981-12-04 13:34:33,31.058652807220586
1981-12-04 13:38:33,32.3905795805641
1981-12-04 13:42:33,32.08495582362505
1981-12-04 13:46:33,34.09700023346703
1981-12-04 13:50:33,34.0404754624421
1981-12-04 13:54:33,35.443819879167144
1981-12-04 13:58:33,34.388069660149654
1981-12-04 14:02:33,38.958267806197355
1981-12-04 14:06:33,37.65215416223907
1981-12-04 14:10:33,38.114384081511524
1981-12-04 14:14:33,38.60534501966425
1981-12-04 14:18:33,40.30949700405994
1981-12-04 14:22:33,46.30261478117909
1981-12-04 14:26:33,43.822514446571205
1981-12-04 14:30:33,45.090624297853815
1981-12-04 14:34:33,44.266669118385984
1981-12-04 14:38:33,44.5846145629635
1981-12-04 14:42:33,46.17849285329487
1981-12-04 14:46:33,47.1197128134505
1981-12-04 14:50:33,48.565766662390025
1981-12-04 14:54:33,46.79494613037146
1981-12-04 14:58:33,51.13498057031658
1981-12-04 15:02:33,48.01406892734049
1981-12-04 15:06:33,51.322159256712936
